ID,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1683,UT Yadav (INDIA),2012-2019,7,1,0,2,2,2,4,50,0,0,0,0,0
1684,Zaheer Maqsood (UAE),2015-2016,3,1,0,2,2,2,5,40,0,0,0,0,0
1685,Z Abbasi (Botsw),2019-2019,1,1,0,1,1,1,5,20,0,0,0,0,0
1686,KK Ahmed (INDIA),2018-2019,14,1,1,1,1*,-,1,100,0,0,0,0,0
1687,J Allen (),2019-2019,2,2,1,1,1*,1,4,25,0,0,1,0,0
1688,HS Alta (TKY),2019-2019,4,4,1,1,1*,0.33,10,10,0,0,3,0,0
1689,JM Anderson (ENG),2007-2009,19,4,3,1,1*,1,2,50,0,0,1,0,0
1690,B Angeltti (Arg),2019-2019,3,1,0,1,1,1,4,25,0,0,0,0,0
1691,V Ateak (Ghana),2019-2019,4,1,1,1,1*,-,2,50,0,0,0,0,0
1692,Awais Malik (QAT),2019-2019,11,4,0,1,1,0.25,4,25,0,0,3,0,0
1693,Babar Ali (BAH),2019-2019,3,1,1,1,1*,-,1,100,0,0,0,0,0
1694,DE Bernard (WI),2009-2009,1,1,1,1,1*,-,1,100,0,0,0,0,0
1695,S Bhari (NEPAL),2019-2019,6,3,2,1,1*,1,5,20,0,0,1,0,0
1696,DE Bollinger (AUS),2011-2014,9,2,2,1,1*,-,1,100,0,0,0,0,0
1697,DR Brown (SCOT),2007-2007,2,1,0,1,1,1,5,20,0,0,0,0,0
1698,N Buckle (GUE),2019-2019,3,1,1,1,1*,-,1,100,0,0,0,0,0
1699,DL Chahar (INDIA),2018-2019,10,2,2,1,1*,-,1,100,0,0,0,0,0
1700,R Dhawan (INDIA),2016-2016,1,1,1,1,1*,-,2,50,0,0,0,0,0
1701,Dhiman Ghosh (BDESH),2008-2008,1,1,0,1,1,1,2,50,0,0,0,0,0
1702,HH Dippenaar (SA),2006-2006,1,1,0,1,1,1,5,20,0,0,0,0,0
1703,B Dugic (Serb),2019-2019,2,1,0,1,1,1,4,25,0,0,0,0,0
1704,GDR Eranga (CAN),2019-2019,9,1,0,1,1,1,1,100,0,0,0,0,0
1705,AC Evans (SCOT),2015-2019,27,6,1,1,1*,0.2,10,10,0,0,5,0,0
1706,LH Ferguson (NZ),2017-2019,8,1,0,1,1,1,3,33.33,0,0,0,0,0
1707,P Florin (ROM),2019-2019,4,2,1,1,1*,1,1,100,0,0,1,0,0
1708,MD Garratt (GIBR),2019-2019,4,2,1,1,1,1,5,20,0,0,0,0,0
1709,A Gavde (Caym),2019-2019,1,1,0,1,1,1,6,16.66,0,0,0,0,0
1710,O Goker (TKY),2019-2019,1,1,1,1,1*,-,1,100,0,0,0,0,0
1711,Hashmatullah Shahidi (AFG),2013-2013,1,1,1,1,1*,-,1,100,0,0,0,0,0
1712,GM Hyde (Blz),2019-2019,3,1,0,1,1,1,6,16.66,0,0,0,0,0
1713,JS Jesani (KENYA),2007-2007,1,1,0,1,1,1,5,20,0,0,0,0,0
1714,MBS Jonkman (NL),2010-2010,3,1,0,1,1,1,8,12.5,0,0,0,0,0
1715,B Khumalo (Botsw),2019-2019,3,1,0,1,1,1,3,33.33,0,0,0,0,0
1716,GE Kidd (IRE),2010-2010,1,1,1,1,1*,-,1,100,0,0,0,0,0
1717,VJ Kingma (NL),2016-2019,4,2,1,1,1,1,5,20,0,0,0,0,0
1718,DS Kulkarni (INDIA),2016-2016,2,1,1,1,1*,-,1,100,0,0,0,0,0
1719,A Lagos (),2019-2019,1,1,1,1,1*,-,4,25,0,0,0,0,0
1720,J Lewis (ENG),2005-2007,2,2,1,1,1,1,4,25,0,0,0,0,0
1721,J Louw (SA),2008-2009,2,1,1,1,1*,-,1,100,0,0,0,0,0
1722,R Mahajan (PHI),2019-2019,3,1,1,1,1*,-,1,100,0,0,0,0,0
1723,SI Mahmood (ENG),2006-2009,4,2,2,1,1*,-,2,50,0,0,0,0,0
1724,RD McCann (IRE),2012-2012,3,1,0,1,1,1,2,50,0,0,0,0,0
1725,MR Montfort (CAN),2019-2019,1,1,1,1,1*,-,1,100,0,0,0,0,0
1726,Muhammed Shanil (UAE),2016-2016,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
1727,M Muralitharan (SL),2006-2010,12,2,0,1,1,0.5,5,20,0,0,1,0,0
1728,B Muzarabani (ZIM),2018-2018,6,3,2,1,1*,1,5,20,0,0,1,0,0
1729,M Nasim Baras (AFG),2015-2015,3,1,0,1,1,1,2,50,0,0,0,0,0
1730,A Nathwani (Aut),2019-2019,5,1,1,1,1*,-,1,100,0,0,0,0,0
1731,R Neale (LUX),2019-2019,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0
1732,ML Nkala (ZIM),2006-2006,1,1,0,1,1,1,3,33.33,0,0,0,0,0
1733,MS Panesar (ENG),2007-2007,1,1,0,1,1,1,2,50,0,0,0,0,0
1734,SD Parry (ENG),2014-2015,5,1,0,1,1,1,1,100,0,0,0,0,0
1735,MDK Perera (SL),2011-2011,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0
1736,DBL Powell (WI),2007-2007,5,1,1,1,1*,-,1,100,0,0,0,0,0
1737,EC Rainsford (ZIM),2010-2010,2,1,1,1,1*,-,2,50,0,0,0,0,0
1738,KB Ratilal (PNM),2019-2019,3,1,1,1,1*,-,2,50,0,0,0,0,0
1739,EB Ringera (KENYA),2019-2019,1,1,0,1,1,1,3,33.33,0,0,0,0,0
1740,WJR Robertson (JER),2019-2019,6,2,2,1,1*,-,2,50,0,0,0,0,0
1741,BA Sambo (Moz),2019-2019,2,1,1,1,1*,-,1,100,0,0,0,0,0
1742,O Sam Arthur (CRC),2019-2019,3,2,1,1,1,1,1,100,0,0,0,0,0
1743,Sandeep Sharma (INDIA),2015-2015,2,1,1,1,1*,-,1,100,0,0,0,0,0
1744,M Sarenac (Serb),2019-2019,2,1,0,1,1,1,2,50,0,0,0,0,0
1745,Sayed Shirzad (AFG),2015-2019,4,1,0,1,1,1,2,50,0,0,0,0,0
1746,ZK Shem (VAN),2019-2019,5,2,2,1,1*,-,4,25,0,0,0,0,0
1747,PM Siddle (AUS),2009-2010,2,1,1,1,1*,-,1,100,0,0,0,0,0
1748,KM Silva (),2019-2019,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0
1749,Sohail Khan (PAK),2008-2017,5,1,1,1,1*,-,1,100,0,0,0,0,0
1750,Sohrawordi Shuvo (BDESH),2010-2010,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
1751,AL Stephen (VAN),2019-2019,2,1,0,1,1,1,2,50,0,0,0,0,0
1752,EP Thompson (NZ),2008-2008,1,1,1,1,1*,-,1,100,0,0,0,0,0
1753,RJW Topley (ENG),2015-2016,6,1,1,1,1*,-,2,50,0,0,0,0,0
1754,TE Tucker (BMUDA),2008-2008,1,1,0,1,1,1,5,20,0,0,0,0,0
1755,T Turan (TKY),2019-2019,4,4,0,1,1,0.25,17,5.88,0,0,3,0,0
1756,R van der Merwe (Arg),2019-2019,5,2,2,1,1*,-,1,100,0,0,0,0,0
1757,I Wardlaw (SCOT),2013-2013,4,1,0,1,1,1,3,33.33,0,0,0,0,0
1758,Wasim Ali (OMAN),2019-2019,1,1,0,1,1,1,4,25,0,0,0,0,0
1759,G Wijekoon (SL),2007-2007,3,2,1,1,1*,1,5,20,0,0,1,0,0
1760,JD Wildermuth (AUS),2018-2018,2,1,1,1,1*,-,1,100,0,0,0,0,0
1761,Yamin Ahmadzai (AFG),2015-2015,2,1,1,1,1*,-,1,100,0,0,0,0,0
1762,Zaki Ul Hassan (Belg),2019-2019,3,1,0,1,1,1,2,50,0,0,0,0,0
1763,Zeeshan Abbas (BAH),2019-2019,1,1,0,1,1,1,4,25,0,0,0,0,0
1764,Abdul Shakoor (ROM),2019-2019,2,1,0,0,0,0,3,0,0,0,1,0,0
1765,AS Abioye (NGA),2019-2019,5,1,1,0,0*,-,0,-,0,0,0,0,0
1766,Aizaz Cheema (PAK),2011-2012,5,1,1,0,0*,-,3,0,0,0,0,0,0
1767,C Akyuz (TKY),2019-2019,2,2,0,0,0,0,3,0,0,0,2,0,0
1768,Ali Naqi (PORT),2019-2019,4,1,1,0,0*,-,0,-,0,0,0,0,0
1769,MA Aponso (SL),2018-2018,3,1,0,0,0,0,2,0,0,0,1,0,0
1770,S Arachchige (ITA),2019-2019,4,1,0,0,0,0,2,0,0,0,1,0,0
1771,Ashiqullah Said (Belg),2019-2019,3,1,0,0,0,0,1,0,0,0,1,0,0
1772,SK Atai (PNG),2019-2019,2,1,0,0,0,0,1,0,0,0,1,0,0
1773,MS Aulakh (CAN),2012-2013,3,1,0,0,0,0,2,0,0,0,1,0,0
1774,CT Bancroft (AUS),2016-2016,1,1,1,0,0*,-,0,-,0,0,0,0,0
1775,M Bhanuka (SL),2019-2019,2,1,0,0,0,0,1,0,0,0,1,0,0
1776,IDR Bradshaw (WI),2006-2006,1,1,1,0,0*,-,0,-,0,0,0,0,0
1777,DR Briggs (ENG),2012-2014,7,1,1,0,0*,-,0,-,0,0,0,0,0
1778,AF Buurman (NL),2010-2010,4,2,0,0,0,0,4,0,0,0,2,0,0
1779,PP Chawla (INDIA),2010-2012,7,1,0,0,0,0,1,0,0,0,1,0,0
1780,DO Christian (WI),2011-2011,2,1,0,0,0,0,2,0,0,0,1,0,0
1781,I Civric (Serb),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1782,S Dalton (CZK-R),2019-2019,3,1,0,0,0,0,1,0,0,0,1,0,0
1783,N Dipakkumar Patel (PNM),2019-2019,3,1,0,0,0,0,0,-,0,0,1,0,0
1784,JN Dorji (BHU),2019-2019,1,1,0,0,0,0,0,-,0,0,1,0,0
1785,Ehsan Nawaz (HKG),2014-2017,5,1,0,0,0,0,2,0,0,0,1,0,0
1786,M Faheem (THAI),2019-2019,4,1,0,0,0,0,2,0,0,0,1,0,0
1787,Fakhrul Mohon (PORT),2019-2019,4,1,0,0,0,0,0,-,0,0,1,0,0
1788,Fiaz Ahmad (KUW),2019-2019,3,1,1,0,0*,-,0,-,0,0,0,0,0
1789,GC Galanis (),2019-2019,2,1,0,0,0,0,1,0,0,0,1,0,0
1790,Gershon Yusuf (NGA),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1791,L Gharasim (ROM),2019-2019,2,1,0,0,0,0,1,0,0,0,1,0,0
1792,M Goonetilleke (MALTA),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1793,SM Harwood (AUS),2007-2009,3,1,1,0,0*,-,0,-,0,0,0,0,0
1794,T Henderson (SA),2006-2006,1,1,0,0,0,0,2,0,0,0,1,0,0
1795,KC Hodsoll (BMUDA),2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
1796,Imran Khan (1) (PAK),2015-2015,3,1,0,0,0,0,1,0,0,0,1,0,0
1797,P Kerai (KENYA),2019-2019,6,1,0,0,0,0,1,0,0,0,1,0,0
1798,S Keshvani (CAN),2010-2010,2,1,1,0,0*,-,1,0,0,0,0,0,0
1799,RN Lewis (WI),2008-2008,1,1,0,0,0,0,4,0,0,0,1,0,0
1800,CA Liyanage (Mald),2019-2019,2,2,1,0,0*,0,1,0,0,0,1,0,0
1801,K Loday (BHU),2019-2019,1,1,1,0,0*,-,1,0,0,0,0,0,0
1802,AJ McKay (NZ),2010-2010,2,1,0,0,0,0,1,0,0,0,1,0,0
1803,GI Maiden (SCOT),2008-2008,3,1,0,0,0,0,1,0,0,0,1,0,0
1804,OM Marshall (Peru),2019-2019,3,1,0,0,0,0,3,0,0,0,1,0,0
1805,M Meade (Chile),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1806,A Mehmood (HKG),2016-2016,2,1,1,0,0*,-,1,0,0,0,0,0,0
1807,Michael Nazir (MALTA),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1808,TS Mills (ENG/ICC),2016-2018,5,1,0,0,0,0,2,0,0,0,1,0,0
1809,A Mishra (INDIA),2010-2017,10,1,0,0,0,0,0,-,0,0,1,0,0
1810,Mohameed Taiwo (NGA),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0
1811,Mohammad Kashif (NL),2010-2010,3,1,1,0,0*,-,0,-,0,0,0,0,0
1812,Mohammad Qazi (CAN),2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
1813,Mohammed Nadeem (QAT),2019-2019,15,2,2,0,0*,-,1,0,0,0,0,0,0
1814,HJC Mol (NL),2008-2008,4,1,0,0,0,0,1,0,0,0,1,0,0
1815,JK Mukhiya (NEPAL),2014-2015,4,1,1,0,0*,-,0,-,0,0,0,0,0
1816,Musa Shaheen (DEN),2019-2019,1,1,0,0,0,0,3,0,0,0,1,0,0
1817,T Muzarabani (ZIM),2015-2016,9,1,1,0,0*,-,2,0,0,0,0,0,0
1818,Naveed Ahmed (CZK-R),2019-2019,7,1,0,0,0,0,1,0,0,0,1,0,0
1819,Nawaf Ahmed (KUW),2019-2019,1,1,1,0,0*,-,0,-,0,0,0,0,0
1820,A Nel (SA),2005-2007,2,1,1,0,0*,-,2,0,0,0,0,0,0
1821,AA Noffke (AUS),2007-2008,2,1,0,0,0,0,0,-,0,0,1,0,0
1822,Noor Momand (Belg),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0
1823,L Nussbaumer (GUE),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1824,A Orfila (GIBR),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1825,MM Patel (INDIA),2011-2011,3,1,0,0,0,0,1,0,0,0,1,0,0
1826,PDRL Perera (SL),2006-2006,2,2,2,0,0*,-,0,-,0,0,0,0,0
1827,T Phaswana (Botsw),2019-2019,1,1,0,0,0,0,3,0,0,0,1,0,0
1828,Rahman Ademi (Serb),2019-2019,2,1,1,0,0*,-,4,0,0,0,0,0,0
1829,DM Richards (WI),2009-2009,1,1,0,0,0,0,1,0,0,0,1,0,0
1830,R Rivas (Chile),2019-2019,3,1,0,0,0,0,1,0,0,0,1,0,0
1831,Rumman Raees (PAK),2016-2018,8,1,1,0,0*,-,0,-,0,0,0,0,0
1832,NA Saini (INDIA),2019-2019,5,1,1,0,0*,-,1,0,0,0,0,0,0
1833,Sajid Liaqat (GER),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0
1834,K Santokie (WI),2011-2014,12,1,1,0,0*,-,0,-,0,0,0,0,0
1835,I Sawmy (DEN),2019-2019,2,2,1,0,0*,0,2,0,0,0,1,0,0
1836,Shaheen Shah Afridi (PAK),2018-2019,10,1,1,0,0*,-,2,0,0,0,0,0,0
1837,A Shahzad (ENG),2010-2011,3,1,1,0,0*,-,3,0,0,0,0,0,0
1838,Shakeel Ansar (PAK),2012-2012,2,1,0,0,0,0,1,0,0,0,1,0,0
1839,T Shamsi (SA),2017-2019,16,3,2,0,0*,0,5,0,0,0,1,0,0
1840,B Shikongo (NAM),2019-2019,11,1,0,0,0,0,1,0,0,0,1,0,0
1841,BA Simango (Moz),2019-2019,2,1,0,0,0,0,2,0,0,0,1,0,0
1842,M Simmons (BMUDA),2019-2019,2,1,0,0,0,0,2,0,0,0,1,0,0
1843,M Simpson-Parker (Aut),2019-2019,3,1,0,0,0,0,2,0,0,0,1,0,0
1844,MS Sinclair (NZ),2005-2007,2,2,0,0,0,0,5,0,0,0,2,0,0
1845,S Singh (PORT),2019-2019,1,1,0,0,0,0,9,0,0,0,1,0,0
1846,L Sipamla (SA),2019-2019,5,1,0,0,0,0,1,0,0,0,1,0,0
1847,S Soosiyakumar (),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1848,ES Soto (CRC),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1849,L Sreekumar (UAE),2017-2017,1,1,0,0,0,0,1,0,0,0,1,0,0
1850,H Ssenyondo (UGA),2019-2019,4,1,1,0,0*,-,0,-,0,0,0,0,0
1851,Taijul Islam (BDESH),2019-2019,2,1,1,0,0*,-,1,0,0,0,0,0,0
1852,Ziaur Rehman (Fin),2019-2019,1,1,0,0,0,0,4,0,0,0,1,0,0
1853,M Zondeki (SA),2006-2006,1,1,0,0,0,0,1,0,0,0,1,0,0
1854,Zulqarnain Haider (ESP),2019-2019,5,1,0,0,0,0,0,-,0,0,1,0,0
1855,YA Abdulla (SA),2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,-
1856,Abdur Rauf (PAK),2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
1857,RA Abolarin (NGA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1858,F Achelam (UGA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1859,GW Aldridge (NZ),2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
1860,TR Ambrose (ENG),2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
1861,A Anemogiannis (),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1862,S Aravind (INDIA),2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
1863,JC Archer (ENG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1864,Arsalan Qadir (CAN),2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
1865,Asad Ali (PAK),2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
1866,Atif Ali Khan (UAE),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1867,P Awana (INDIA),2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
1868,LS Baker (WI),2008-2009,3,-,-,-,-,-,-,-,-,-,-,-,-
1869,L Balaji (INDIA),2012-2012,5,-,-,-,-,-,-,-,-,-,-,-,-
1870,JT Ball (ENG),2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,-
1871,S Bantzas (),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1872,TC Bastiampillai (CAN),2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
1873,MD Bates (NZ),2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,-
1874,D Bau (PNG),2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
1875,JP Behrendorff (AUS),2017-2019,7,-,-,-,-,-,-,-,-,-,-,-,-
1876,CC Blake (VAN),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1877,N Boje (SA),2005-2005,1,-,-,-,-,-,-,-,-,-,-,-,-
1878,SM Boland (AUS),2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-
1879,CG Burnett (SCOT),2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
1880,DK Butler (WI),2006-2006,1,-,-,-,-,-,-,-,-,-,-,-,-
1881,RD Chahar (INDIA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1882,N Chejay (BHU),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1883,C Chete (MWI),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1884,SR Clark (AUS),2006-2007,9,-,-,-,-,-,-,-,-,-,-,-,-
1885,MS Crane (ENG),2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,-
1886,D Daesrath (CAN),2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
1887,M de Lange (SA),2012-2015,6,-,-,-,-,-,-,-,-,-,-,-,-
1888,SI de Saram (SL),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
1889,BJ Diamanti (NZ),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
1890,V Dikov (),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1891,K Dorji (BHU),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1892,PS Eaglestone (IRE),2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
1893,BT Foakes (ENG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1894,BC Fortuin (SA),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1895,O Fournier (CRC),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1896,R Frylinck (SA),2017-2018,3,-,-,-,-,-,-,-,-,-,-,-,-
1897,ST Gabriel (WI),2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
1898,Garret Banner (Blz),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1899,B Geeves (AUS),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
1900,S Goud (CZK-R),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1901,D Gough (ENG),2005-2006,2,-,-,-,-,-,-,-,-,-,-,-,-
1902,HF Gurney (ENG),2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-
1903,Hamza Tahir (SCOT),2018-2019,11,-,-,-,-,-,-,-,-,-,-,-,-
1904,SJ Harmison (ENG),2005-2006,2,-,-,-,-,-,-,-,-,-,-,-,-
1905,RJ Hatchman (GIBR),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1906,JR Hazlewood (AUS),2013-2016,7,-,-,-,-,-,-,-,-,-,-,-,-
1907,J Hurley (Arg),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1908,Ibrahim Khan (Saudi),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1909,Iftikhar Anjum (PAK),2007-2009,2,-,-,-,-,-,-,-,-,-,-,-,-
1910,Imran Ashraf (QAT),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1911,D Jakiel (ZIM),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1912,Joginder Sharma (INDIA),2007-2007,4,-,-,-,-,-,-,-,-,-,-,-,-
1913,GJ Joseph (Blz),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1914,Jubair Hossain (BDESH),2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
1915,TP Kamungozi (ZIM),2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
1916,M Kartik (INDIA),2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,-
1917,S Kaul (INDIA),2018-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1918,UKPW Kumaranayaka (KUW),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1919,B Laughlin (AUS),2009-2013,3,-,-,-,-,-,-,-,-,-,-,-,-
1920,E Leie (SA),2015-2015,2,-,-,-,-,-,-,-,-,-,-,-,-
1921,RDM Leverock (BMUDA),2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,-
1922,ML Lewis (AUS),2006-2006,2,-,-,-,-,-,-,-,-,-,-,-,-
1923,DSK Madushanka (SL),2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,-
1924,GT Main (SCOT),2015-2016,4,-,-,-,-,-,-,-,-,-,-,-,-
1925,Mansoor Amjad (PAK),2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
1926,M Markande (INDIA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1927,A Martin (WI),2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
1928,B Masaba (UGA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1929,WT Mashinge (ZIM),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1930,GJ McCarter (IRE),2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,-
1931,SC Meaker (ENG),2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
1932,Mihusan Hamid (Mald),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1933,Mohammad Shahid (BDESH),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1934,Mohammed Shami (INDIA),2014-2019,8,-,-,-,-,-,-,-,-,-,-,-,-
1935,Mohammed Siraj (INDIA),2017-2018,3,-,-,-,-,-,-,-,-,-,-,-,-
1936,GMC Mol (NL),2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
1937,Muhammad Amir (MAL),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1938,Muhammad Musa (PAK),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1939,Mukhtiar Singh (ESP),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1940,Musawar Shah (QAT),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1941,M Mwamadi (MWI),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1942,M Nandela (Mex),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1943,Nasir Aziz (UAE),2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
1944,NH Naureen (ESP),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1945,Nawazish Jezuli (Saudi),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1946,P Negi (INDIA),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1947,A Neill (SCOT),2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,-
1948,R Ngarava (ZIM),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1949,G Nikitas (),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1950,F Nkhoma (MWI),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,-
1951,A Nortje (SA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1952,IE O'Brien (NZ),2009-2009,4,-,-,-,-,-,-,-,-,-,-,-,-
1953,E Ochieng (KENYA),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1954,RJG Palmer (JER),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1955,MA Parker (SCOT),2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
1956,MW Parkinson (ENG),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1957,AY Patel (NZ),2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,-
1958,J Perman (ESP),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1959,V Permaul (WI),2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
1960,R Pisal (ROM),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1961,KTGD Prasad (SL),2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
1962,M Pushpakumara (SL),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
1963,S Qeshile (SA),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1964,Raja Adeel (ESP),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1965,Rashid Khan (NEPAL),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1966,KA Reynolds (Blz),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1967,Robiul Islam (BDESH),2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
1968,Rokhan Barakzai (AFG),2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,-
1969,AK Sah (NEPAL),2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
1970,Sajedul Islam (BDESH),2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
1971,Saqlain Sajib (BDESH),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1972,JD Schoonheim (NL),2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
1973,K Senamontree (THAI),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1974,Shabbir Ahmed (PAK),2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,-
1975,Shaffeq Muhammad (),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1976,Sharif Asadullah (UAE),2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
1977,KV Sharma (INDIA),2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
1978,R Sharma (INDIA),2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
